year,month,city,hotel_name,total_rooms,rooms_used,occupancy_rate,avg_price,room_revenue,food_revenue,total_revenue,employees,individual_guests,group_guests,total_guests,domestic_guests,japan_guests,korea_guests,hk_mo_guests,usa_guests,domestic_ratio,international_ratio,individual_ratio,revpar,star_rank,star_rating,has_star
2023,1,台北市,台北寒舍艾美酒店,160.0,3120,62.903225806451616,9137.743269230768,28509759,92180229,132325515,337,4824,179,5003,2763,101,56,287,872,0.55226863881671,0.44773136118329004,0.9642214671197281,5747.935282258064,5.0,五星級,1
2023,1,台北市,台北美福大飯店,146.0,2379,52.56296950950067,6866.448087431694,16335280,116959099,144293733,368,5452,25,5477,4400,81,372,55,223,0.8033595033777615,0.19664049662223848,0.9954354573671718,3609.209014582413,6.0,卓越五星,1
2023,1,台北市,台北花園大酒店,241.0,4576,61.250167313612636,3079.733173076923,14092859,29138713,46615732,145,9129,329,9458,5430,153,1333,122,170,0.5741171495030661,0.42588285049693386,0.9652146331148235,1886.3417213224466,4.0,四星級,1
2023,1,台北市,台北萬豪酒店,318.0,7677,77.87583688374924,5510.997525074899,42307928,111019493,178102635,480,9653,3297,12950,7090,144,1174,226,2671,0.5474903474903475,0.45250965250965247,0.7454054054054055,4291.735443294787,5.0,五星級,1
2023,1,台北市,台北遠東香格里拉,420.0,8393,64.46236559139786,5864.034671750268,49216843,89090628,155513078,473,12716,2422,15138,6612,225,398,544,3826,0.4367816091954023,0.5632183908045977,0.8400052847139649,3780.0954685099846,5.0,五星級,1
2023,1,台北市,合尊酒店 S Hotel,101.0,1383,44.171191312679646,2775.013015184382,3837843,1197785,5594801,39,2070,404,2474,1605,22,20,98,155,0.64874696847211,0.35125303152789,0.8367016976556184,1225.7563078888531,,無星等/未評鑑,0
2023,1,台北市,國王大飯店,97.0,990,32.92317924842035,2170.214141414142,2148512,200219,2368744,47,693,297,990,741,202,16,1,11,0.7484848484848485,0.25151515151515147,0.7,714.5034918523446,3.0,三星級,1
2023,1,台北市,國聯大飯店,243.0,1506,19.992035045798488,2588.348605577689,3898053,40415,4352241,37,1279,1027,2306,1829,28,79,7,69,0.7931483087597572,0.20685169124024283,0.5546400693842151,517.463560334528,4.0,四星級,1
2023,1,台北市,圓山大飯店,473.0,7409,50.52854122621564,4461.636928060467,33056268,90076991,141529649,558,12363,4328,16691,14421,588,481,43,484,0.863998562099335,0.136001437900665,0.7406985800730933,2254.400054559094,5.0,五星級,1
2023,1,台北市,天成大飯店,225.0,4375,62.72401433691756,3132.933028571429,13706582,50077655,68882779,253,8670,207,8877,3989,876,1553,85,417,0.4493635237129661,0.5506364762870339,0.976681311253802,1965.1013620071687,4.0,四星級,1
