year,month,days_in_month,weekend_days,day_off_days,weekday_day_off_days,makeup_workdays,long_break_day_count,longest_break_days,spring_festival_days,long_weekend_count,day_off_ratio,has_spring_festival,is_summer_month,is_year_end_month
2023,1,31,9,15,7,1,10,10,5,1,0.4838709677419355,1,0,1
2023,2,28,8,8,2,2,4,4,0,1,0.2857142857142857,0,0,0
2023,3,31,8,7,0,1,0,2,0,0,0.22580645161290322,0,0,0
2023,4,30,10,13,3,0,5,5,0,1,0.43333333333333335,0,0,0
2023,5,31,8,8,0,0,0,2,0,0,0.25806451612903225,0,0,0
2023,6,30,8,9,2,1,4,4,0,1,0.3,0,0,0
2023,7,31,10,10,0,0,0,2,0,0,0.3225806451612903,0,1,0
2023,8,31,8,8,0,0,0,2,0,0,0.25806451612903225,0,1,0
2023,9,30,9,9,1,1,2,3,0,1,0.3,0,0,0
2023,10,31,9,11,2,0,5,4,0,2,0.3548387096774194,0,0,0
2023,11,30,8,8,0,0,0,2,0,0,0.26666666666666666,0,0,0
2023,12,31,10,10,0,0,2,3,0,1,0.3225806451612903,0,0,1
2024,1,31,8,9,1,0,1,3,0,1,0.2903225806451613,0,0,1
2024,2,29,8,13,6,1,7,7,5,1,0.4482758620689655,1,0,0
2024,3,31,10,10,0,0,0,2,0,0,0.3225806451612903,0,0,0
2024,4,30,8,10,2,0,4,4,0,1,0.3333333333333333,0,0,0
2024,5,31,8,8,0,0,0,2,0,0,0.25806451612903225,0,0,0
2024,6,30,10,11,1,0,3,3,0,1,0.36666666666666664,0,0,0
2024,7,31,8,8,0,0,0,2,0,0,0.25806451612903225,0,1,0
2024,8,31,9,9,0,0,0,2,0,0,0.2903225806451613,0,1,0
2024,9,30,9,10,1,0,0,2,0,0,0.3333333333333333,0,0,0
2024,10,31,8,9,1,0,0,2,0,0,0.2903225806451613,0,0,0
2024,11,30,9,9,0,0,0,2,0,0,0.3,0,0,0
2024,12,31,9,9,0,0,0,2,0,0,0.2903225806451613,0,0,1
2025,1,31,8,14,6,0,7,9,5,1,0.45161290322580644,1,0,1
2025,2,28,8,8,1,1,3,9,0,2,0.2857142857142857,0,0,0
2025,3,31,10,10,0,0,2,3,0,1,0.3225806451612903,0,0,0
2025,4,30,8,10,2,0,4,4,0,1,0.3333333333333333,0,0,0
2025,5,31,9,10,1,0,2,3,0,1,0.3225806451612903,0,0,0
2025,6,30,9,9,0,0,1,3,0,1,0.3,0,0,0
2025,7,31,8,8,0,0,0,2,0,0,0.25806451612903225,0,1,0
2025,8,31,10,10,0,0,0,2,0,0,0.3225806451612903,0,1,0
2025,9,30,8,9,1,0,3,3,0,1,0.3,0,0,0
2025,10,31,8,11,3,0,9,3,0,3,0.3548387096774194,0,0,0
2025,11,30,10,10,0,0,0,2,0,0,0.3333333333333333,0,0,0
2025,12,31,8,9,1,0,0,2,0,0,0.2903225806451613,0,0,1
2026,1,31,9,10,1,0,0,2,0,0,0.3225806451612903,0,0,1
2026,2,28,8,14,6,0,11,9,5,2,0.5,1,0,0
2026,3,31,9,9,0,0,1,3,0,1,0.2903225806451613,0,0,0
2026,4,30,8,10,2,0,4,4,0,1,0.3333333333333333,0,0,0
2026,5,31,10,11,1,0,3,3,0,1,0.3548387096774194,0,0,0
2026,6,30,8,9,1,0,3,3,0,1,0.3,0,0,0
2026,7,31,8,8,0,0,0,2,0,0,0.25806451612903225,0,1,0
2026,8,31,10,10,0,0,0,2,0,0,0.3225806451612903,0,1,0
2026,9,30,8,10,2,0,4,4,0,1,0.3333333333333333,0,0,0
2026,10,31,9,11,2,0,6,3,0,2,0.3548387096774194,0,0,0
2026,11,30,9,9,0,0,0,2,0,0,0.3,0,0,0
2026,12,31,8,9,1,0,3,3,0,1,0.2903225806451613,0,0,1
2027,1,31,10,11,1,0,3,3,0,1,0.3548387096774194,0,0,1
2027,2,28,8,13,5,0,9,7,5,2,0.4642857142857143,1,0,0
2027,3,31,8,9,1,0,1,3,0,1,0.2903225806451613,0,0,0
2027,4,30,8,11,3,0,5,4,0,2,0.36666666666666664,0,0,0
2027,5,31,10,10,0,0,2,3,0,1,0.3225806451612903,0,0,0
2027,6,30,8,9,1,0,0,2,0,0,0.3,0,0,0
2027,7,31,9,9,0,0,0,2,0,0,0.2903225806451613,0,1,0
2027,8,31,9,9,0,0,0,2,0,0,0.2903225806451613,0,1,0
2027,9,30,8,10,2,0,0,2,0,0,0.3333333333333333,0,0,0
2027,10,31,10,12,2,0,6,3,0,2,0.3870967741935484,0,0,0
2027,11,30,8,8,0,0,0,2,0,0,0.26666666666666666,0,0,0
2027,12,31,8,10,2,0,3,3,0,1,0.3225806451612903,0,0,1
