date,year,month,city,hotel_name,actual_occupancy,predicted_occupancy,error,absolute_error
2026-01-01,2026,1,台北市,JR東日本大飯店台北,81.83,82.67195963369039,0.8419596336903936,0.8419596336903936
2026-02-01,2026,2,台北市,JR東日本大飯店台北,66.96,83.84907112889688,16.889071128896887,16.889071128896887
2026-03-01,2026,3,台北市,JR東日本大飯店台北,84.44,78.27790465915781,-6.1620953408421855,6.1620953408421855
2026-04-01,2026,4,台北市,JR東日本大飯店台北,83.77,82.18558554258283,-1.584414457417168,1.584414457417168
2026-05-01,2026,5,台北市,JR東日本大飯店台北,80.35,79.59128332351261,-0.7587166764873814,0.7587166764873814
2026-06-01,2026,6,台北市,JR東日本大飯店台北,84.54,79.67335798210593,-4.86664201789408,4.86664201789408
2026-01-01,2026,1,台北市,三德大飯店,54.22,52.97244709578208,-1.247552904217919,1.247552904217919
2026-02-01,2026,2,台北市,三德大飯店,56.8,58.779639679714656,1.9796396797146585,1.9796396797146585
2026-03-01,2026,3,台北市,三德大飯店,76.16,60.07441913227505,-16.08558086772495,16.08558086772495
2026-04-01,2026,4,台北市,三德大飯店,62.18,67.62034066988936,5.440340669889359,5.440340669889359
2026-05-01,2026,5,台北市,三德大飯店,57.69,59.051854545166485,1.3618545451664872,1.3618545451664872
2026-06-01,2026,6,台北市,三德大飯店,48.06,60.31829856117599,12.258298561175991,12.258298561175991
2026-01-01,2026,1,台北市,亞都麗緻大飯店,58.10999999999999,66.89282864558008,8.78282864558009,8.78282864558009
2026-02-01,2026,2,台北市,亞都麗緻大飯店,59.870000000000005,63.879139954344836,4.009139954344832,4.009139954344832
2026-03-01,2026,3,台北市,亞都麗緻大飯店,79.13,68.53339448338485,-10.596605516615142,10.596605516615142
2026-04-01,2026,4,台北市,亞都麗緻大飯店,68.26,70.71264878635807,2.4526487863580684,2.4526487863580684
2026-05-01,2026,5,台北市,亞都麗緻大飯店,60.83,65.89716234426467,5.067162344264673,5.067162344264673
2026-06-01,2026,6,台北市,亞都麗緻大飯店,66.04,57.840987072582706,-8.1990129274173,8.1990129274173
2026-01-01,2026,1,台北市,兄弟大飯店,48.54,62.746819020110614,14.206819020110615,14.206819020110615
2026-02-01,2026,2,台北市,兄弟大飯店,48.09,58.89780273951094,10.807802739510933,10.807802739510933
2026-03-01,2026,3,台北市,兄弟大飯店,69.25,58.07343711997281,-11.176562880027191,11.176562880027191
2026-04-01,2026,4,台北市,兄弟大飯店,62.74999999999999,63.42715198782581,0.6771519878258161,0.6771519878258161
