feature,importance
total_rooms,0.2188465815264124
rooms_per_employee,0.15205884274869683
international_ratio,0.150164689470261
domestic_ratio,0.14412402320238563
individual_ratio,0.11061332825279058
avg_price,0.06141051390890099
room_rev_ratio,0.059792124277949374
star_rank_filled,0.017998563605140433
is_台北市,0.01733030728816073
is_5star_plus,0.009620900288848381
is_budget_price,0.009281405227764886
is_新北市,0.008759527685052608
is_高雄市,0.006611564132089006
is_non_star,0.004983828575596798
is_4star,0.0049424797026521635
has_star,0.004884172926960353
is_花蓮縣,0.004242481764270427
is_3star,0.0042010232911711114
is_南投縣,0.003606037306322969
is_luxury_price,0.0021483263918628086
is_台中市,0.001980946447471364
is_宜蘭縣,0.0017576672655796233
is_屏東縣,0.0005262280785108318
is_large_hotel,0.00011443663514875622
